peptide	lca	superkingdom	genus
peptide_0	Enterobacteriaceae	Bacteria	Escherichia
peptide_1	root	root	Tequatrovirus
peptide_2	Enterobacteriaceae	Bacteria	Salmonella
peptide_3	root	Bacteria	Tequatrovirus
peptide_4	Enterobacteriaceae	root	Salmonella
peptide_5	root	Bacteria	Salmonella
peptide_6	Enterobacteriaceae	Bacteria	Other
peptide_7	Enterobacteriaceae	Bacteria	Salmonella
peptide_8	Enterobacteriaceae	root	Tequatrovirus
peptide_9	root	root	Salmonella
peptide_10	Enterobacteriaceae	Bacteria	Other
peptide_11	root	Bacteria	Bacillus
peptide_12	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_13	root	Bacteria	Salmonella
peptide_14	root	root	Other
peptide_15	Enterobacteriaceae	root	Salmonella
peptide_16	Enterobacteriaceae	root	Tequatrovirus
peptide_17	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_18	root	Bacteria	Bacillus
peptide_19	root	root	Other
peptide_20	root	Bacteria	Salmonella
peptide_21	root	root	Escherichia
peptide_22	Enterobacteriaceae	root	Bacillus
peptide_23	root	Bacteria	Salmonella
peptide_24	root	root	Salmonella
peptide_25	root	Bacteria	Salmonella
peptide_26	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_27	Enterobacteriaceae	Bacteria	Bacillus
peptide_28	root	Bacteria	Salmonella
peptide_29	root	root	Escherichia
peptide_30	root	root	Escherichia
peptide_31	root	root	Escherichia
peptide_32	Enterobacteriaceae	root	Salmonella
peptide_33	root	root	Escherichia
peptide_34	Enterobacteriaceae	root	Tequatrovirus
peptide_35	Enterobacteriaceae	Bacteria	Other
peptide_36	Enterobacteriaceae	Bacteria	Bacillus
peptide_37	root	root	Salmonella
peptide_38	Enterobacteriaceae	root	Other
peptide_39	Enterobacteriaceae	Bacteria	Escherichia
peptide_40	root	Bacteria	Tequatrovirus
peptide_41	root	root	Salmonella
peptide_42	root	Bacteria	Other
peptide_43	Enterobacteriaceae	root	Bacillus
peptide_44	Enterobacteriaceae	root	Tequatrovirus
peptide_45	Enterobacteriaceae	Bacteria	Other
peptide_46	root	Bacteria	Other
peptide_47	root	Bacteria	Salmonella
peptide_48	root	Bacteria	Bacillus
peptide_49	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_50	Enterobacteriaceae	root	Salmonella
peptide_51	root	root	Salmonella
peptide_52	Enterobacteriaceae	Bacteria	Salmonella
peptide_53	root	root	Other
peptide_54	Enterobacteriaceae	root	Other
peptide_55	root	root	Other
peptide_56	root	Bacteria	Other
peptide_57	Enterobacteriaceae	Bacteria	Escherichia
peptide_58	root	Bacteria	Other
peptide_59	root	root	Tequatrovirus
peptide_60	Enterobacteriaceae	Bacteria	Bacillus
peptide_61	root	Bacteria	Other
peptide_62	root	Bacteria	Escherichia
peptide_63	root	Bacteria	Salmonella
peptide_64	root	Bacteria	Other
peptide_65	root	Bacteria	Tequatrovirus
peptide_66	root	Bacteria	Salmonella
peptide_67	root	root	Other
peptide_68	root	root	Tequatrovirus
peptide_69	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_70	Enterobacteriaceae	root	Escherichia
peptide_71	root	Bacteria	Other
peptide_72	root	root	Other
peptide_73	Enterobacteriaceae	root	Other
peptide_74	root	Bacteria	Tequatrovirus
peptide_75	root	Bacteria	Salmonella
peptide_76	Enterobacteriaceae	Bacteria	Bacillus
peptide_77	root	root	Escherichia
peptide_78	Enterobacteriaceae	Bacteria	Other
peptide_79	root	root	Tequatrovirus
peptide_80	Enterobacteriaceae	Bacteria	Salmonella
peptide_81	root	Bacteria	Tequatrovirus
peptide_82	root	Bacteria	Other
peptide_83	Enterobacteriaceae	root	Salmonella
peptide_84	Enterobacteriaceae	root	Escherichia
peptide_85	Enterobacteriaceae	Bacteria	Salmonella
peptide_86	root	root	Salmonella
peptide_87	Enterobacteriaceae	Bacteria	Salmonella
peptide_88	root	Bacteria	Other
peptide_89	Enterobacteriaceae	root	Other
peptide_90	Enterobacteriaceae	root	Bacillus
peptide_91	Enterobacteriaceae	root	Salmonella
peptide_92	Enterobacteriaceae	root	Escherichia
peptide_93	Enterobacteriaceae	root	Tequatrovirus
peptide_94	Enterobacteriaceae	root	Tequatrovirus
peptide_95	root	root	Tequatrovirus
peptide_96	root	Bacteria	Escherichia
peptide_97	Enterobacteriaceae	root	Other
peptide_98	Enterobacteriaceae	Bacteria	Escherichia
peptide_99	Enterobacteriaceae	Bacteria	Salmonella
