peptide	lca	superkingdom	genus
peptide_0	root	Bacteria	Salmonella
peptide_1	root	Bacteria	Other
peptide_2	root	Bacteria	Other
peptide_3	root	Bacteria	Salmonella
peptide_4	root	root	Salmonella
peptide_5	Enterobacteriaceae	Bacteria	Bacillus
peptide_6	Enterobacteriaceae	Bacteria	Other
peptide_7	Enterobacteriaceae	root	Other
peptide_8	root	root	Salmonella
peptide_9	root	root	Other
peptide_10	root	root	Salmonella
peptide_11	root	root	Salmonella
peptide_12	Enterobacteriaceae	root	Other
peptide_13	root	root	Bacillus
peptide_14	Enterobacteriaceae	Bacteria	Salmonella
peptide_15	root	Bacteria	Salmonella
peptide_16	root	Bacteria	Other
peptide_17	Enterobacteriaceae	root	Tequatrovirus
peptide_18	Enterobacteriaceae	root	Bacillus
peptide_19	Enterobacteriaceae	root	Other
peptide_20	Enterobacteriaceae	Bacteria	Escherichia
peptide_21	Enterobacteriaceae	Bacteria	Salmonella
peptide_22	Enterobacteriaceae	root	Bacillus
peptide_23	root	root	Salmonella
peptide_24	root	Bacteria	Tequatrovirus
peptide_25	root	Bacteria	Salmonella
peptide_26	root	Bacteria	Escherichia
peptide_27	Enterobacteriaceae	root	Other
peptide_28	root	Bacteria	Other
peptide_29	Enterobacteriaceae	Bacteria	Escherichia
peptide_30	root	Bacteria	Other
peptide_31	root	root	Other
peptide_32	Enterobacteriaceae	Bacteria	Salmonella
peptide_33	root	root	Salmonella
peptide_34	root	Bacteria	Other
peptide_35	root	root	Escherichia
peptide_36	root	Bacteria	Other
peptide_37	root	Bacteria	Salmonella
peptide_38	root	Bacteria	Escherichia
peptide_39	root	root	Other
peptide_40	Enterobacteriaceae	Bacteria	Bacillus
peptide_41	root	root	Escherichia
peptide_42	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_43	Enterobacteriaceae	root	Escherichia
peptide_44	root	Bacteria	Escherichia
peptide_45	root	Bacteria	Escherichia
peptide_46	Enterobacteriaceae	root	Other
peptide_47	Enterobacteriaceae	root	Other
peptide_48	Enterobacteriaceae	root	Salmonella
peptide_49	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_50	root	root	Tequatrovirus
peptide_51	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_52	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_53	Enterobacteriaceae	root	Other
peptide_54	Enterobacteriaceae	Bacteria	Other
peptide_55	root	root	Salmonella
peptide_56	Enterobacteriaceae	root	Salmonella
peptide_57	root	Bacteria	Salmonella
peptide_58	root	Bacteria	Other
peptide_59	Enterobacteriaceae	Bacteria	Salmonella
peptide_60	Enterobacteriaceae	root	Escherichia
peptide_61	root	Bacteria	Salmonella
peptide_62	Enterobacteriaceae	Bacteria	Other
peptide_63	Enterobacteriaceae	Bacteria	Salmonella
peptide_64	root	root	Escherichia
peptide_65	Enterobacteriaceae	Bacteria	Salmonella
peptide_66	root	Bacteria	Bacillus
peptide_67	root	root	Other
peptide_68	root	Bacteria	Tequatrovirus
peptide_69	root	Bacteria	Other
peptide_70	root	Bacteria	Salmonella
peptide_71	root	root	Salmonella
peptide_72	root	Bacteria	Tequatrovirus
peptide_73	Enterobacteriaceae	Bacteria	Other
peptide_74	root	Bacteria	Tequatrovirus
peptide_75	Enterobacteriaceae	Bacteria	Salmonella
peptide_76	root	Bacteria	Salmonella
peptide_77	root	Bacteria	Tequatrovirus
peptide_78	Enterobacteriaceae	root	Bacillus
peptide_79	Enterobacteriaceae	root	Escherichia
peptide_80	Enterobacteriaceae	root	Bacillus
peptide_81	root	Bacteria	Other
peptide_82	Enterobacteriaceae	Bacteria	Escherichia
peptide_83	root	root	Tequatrovirus
peptide_84	root	root	Salmonella
peptide_85	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_86	Enterobacteriaceae	root	Salmonella
peptide_87	Enterobacteriaceae	Bacteria	Other
peptide_88	root	Bacteria	Salmonella
peptide_89	Enterobacteriaceae	root	Salmonella
peptide_90	root	root	Salmonella
peptide_91	root	Bacteria	Salmonella
peptide_92	root	root	Other
peptide_93	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_94	root	Bacteria	Other
peptide_95	root	root	Other
peptide_96	Enterobacteriaceae	root	Other
peptide_97	Enterobacteriaceae	Bacteria	Bacillus
peptide_98	root	root	Other
peptide_99	root	root	Salmonella
