peptide	lca	superkingdom	genus
peptide_0	root	Bacteria	Other
peptide_1	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_2	root	root	Other
peptide_3	root	root	Tequatrovirus
peptide_4	root	root	Tequatrovirus
peptide_5	Enterobacteriaceae	Bacteria	Salmonella
peptide_6	Enterobacteriaceae	root	Tequatrovirus
peptide_7	Enterobacteriaceae	Bacteria	Other
peptide_8	root	root	Salmonella
peptide_9	root	Bacteria	Escherichia
peptide_10	Enterobacteriaceae	root	Salmonella
peptide_11	root	root	Other
peptide_12	root	Bacteria	Salmonella
peptide_13	root	root	Other
peptide_14	Enterobacteriaceae	root	Salmonella
peptide_15	root	Bacteria	Salmonella
peptide_16	Enterobacteriaceae	root	Salmonella
peptide_17	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_18	Enterobacteriaceae	root	Tequatrovirus
peptide_19	root	root	Salmonella
peptide_20	root	root	Tequatrovirus
peptide_21	root	Bacteria	Tequatrovirus
peptide_22	root	Bacteria	Salmonella
peptide_23	root	root	Salmonella
peptide_24	Enterobacteriaceae	root	Other
peptide_25	Enterobacteriaceae	root	Tequatrovirus
peptide_26	Enterobacteriaceae	root	Escherichia
peptide_27	root	root	Other
peptide_28	Enterobacteriaceae	root	Other
peptide_29	Enterobacteriaceae	Bacteria	Escherichia
peptide_30	Enterobacteriaceae	Bacteria	Salmonella
peptide_31	Enterobacteriaceae	root	Salmonella
peptide_32	Enterobacteriaceae	root	Other
peptide_33	root	Bacteria	Salmonella
peptide_34	Enterobacteriaceae	Bacteria	Salmonella
peptide_35	root	root	Other
peptide_36	root	root	Other
peptide_37	root	root	Other
peptide_38	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_39	Enterobacteriaceae	root	Tequatrovirus
peptide_40	Enterobacteriaceae	Bacteria	Other
peptide_41	Enterobacteriaceae	root	Salmonella
peptide_42	Enterobacteriaceae	root	Tequatrovirus
peptide_43	Enterobacteriaceae	root	Bacillus
peptide_44	Enterobacteriaceae	root	Bacillus
peptide_45	Enterobacteriaceae	root	Tequatrovirus
peptide_46	Enterobacteriaceae	root	Escherichia
peptide_47	Enterobacteriaceae	Bacteria	Escherichia
peptide_48	root	Bacteria	Salmonella
peptide_49	root	Bacteria	Salmonella
peptide_50	root	root	Salmonella
peptide_51	root	Bacteria	Salmonella
peptide_52	root	Bacteria	Other
peptide_53	root	Bacteria	Salmonella
peptide_54	root	Bacteria	Salmonella
peptide_55	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_56	Enterobacteriaceae	Bacteria	Escherichia
peptide_57	root	root	Tequatrovirus
peptide_58	Enterobacteriaceae	root	Salmonella
peptide_59	root	root	Salmonella
peptide_60	root	Bacteria	Salmonella
peptide_61	root	root	Escherichia
peptide_62	Enterobacteriaceae	root	Other
peptide_63	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_64	root	Bacteria	Salmonella
peptide_65	Enterobacteriaceae	root	Salmonella
peptide_66	Enterobacteriaceae	Bacteria	Salmonella
peptide_67	Enterobacteriaceae	root	Tequatrovirus
peptide_68	root	Bacteria	Salmonella
peptide_69	root	Bacteria	Tequatrovirus
peptide_70	Enterobacteriaceae	root	Other
peptide_71	root	root	Salmonella
peptide_72	root	Bacteria	Escherichia
peptide_73	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_74	Enterobacteriaceae	root	Tequatrovirus
peptide_75	Enterobacteriaceae	root	Bacillus
peptide_76	Enterobacteriaceae	Bacteria	Escherichia
peptide_77	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_78	Enterobacteriaceae	root	Tequatrovirus
peptide_79	Enterobacteriaceae	root	Other
peptide_80	root	Bacteria	Bacillus
peptide_81	root	root	Tequatrovirus
peptide_82	root	root	Other
peptide_83	Enterobacteriaceae	root	Tequatrovirus
peptide_84	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_85	Enterobacteriaceae	root	Escherichia
peptide_86	root	Bacteria	Escherichia
peptide_87	Enterobacteriaceae	root	Other
peptide_88	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_89	Enterobacteriaceae	root	Salmonella
peptide_90	root	root	Escherichia
peptide_91	Enterobacteriaceae	root	Other
peptide_92	Enterobacteriaceae	root	Bacillus
peptide_93	root	root	Salmonella
peptide_94	root	root	Tequatrovirus
peptide_95	Enterobacteriaceae	root	Bacillus
peptide_96	root	root	Tequatrovirus
peptide_97	root	Bacteria	Other
peptide_98	Enterobacteriaceae	root	Other
peptide_99	Enterobacteriaceae	Bacteria	Salmonella
