peptide	lca	superkingdom	genus
peptide_0	Enterobacteriaceae	root	Salmonella
peptide_1	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_2	Enterobacteriaceae	Bacteria	Bacillus
peptide_3	Enterobacteriaceae	root	Bacillus
peptide_4	Enterobacteriaceae	Bacteria	Other
peptide_5	root	Bacteria	Other
peptide_6	root	root	Salmonella
peptide_7	root	Bacteria	Other
peptide_8	Enterobacteriaceae	Bacteria	Salmonella
peptide_9	root	Bacteria	Escherichia
peptide_10	root	Bacteria	Salmonella
peptide_11	root	root	Other
peptide_12	Enterobacteriaceae	root	Other
peptide_13	root	root	Other
peptide_14	root	root	Tequatrovirus
peptide_15	Enterobacteriaceae	Bacteria	Other
peptide_16	root	root	Salmonella
peptide_17	Enterobacteriaceae	root	Tequatrovirus
peptide_18	root	root	Tequatrovirus
peptide_19	root	Bacteria	Escherichia
peptide_20	Enterobacteriaceae	root	Other
peptide_21	root	root	Other
peptide_22	root	root	Tequatrovirus
peptide_23	Enterobacteriaceae	root	Other
peptide_24	root	Bacteria	Tequatrovirus
peptide_25	root	Bacteria	Salmonella
peptide_26	Enterobacteriaceae	Bacteria	Escherichia
peptide_27	root	root	Other
peptide_28	root	Bacteria	Other
peptide_29	root	root	Tequatrovirus
peptide_30	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_31	root	Bacteria	Tequatrovirus
peptide_32	root	Bacteria	Salmonella
peptide_33	root	Bacteria	Other
peptide_34	root	Bacteria	Escherichia
peptide_35	root	root	Bacillus
peptide_36	Enterobacteriaceae	Bacteria	Salmonella
peptide_37	root	Bacteria	Bacillus
peptide_38	root	Bacteria	Bacillus
peptide_39	root	Bacteria	Salmonella
peptide_40	Enterobacteriaceae	Bacteria	Escherichia
peptide_41	Enterobacteriaceae	root	Escherichia
peptide_42	root	Bacteria	Salmonella
peptide_43	root	Bacteria	Bacillus
peptide_44	Enterobacteriaceae	Bacteria	Salmonella
peptide_45	root	Bacteria	Tequatrovirus
peptide_46	root	root	Salmonella
peptide_47	Enterobacteriaceae	root	Other
peptide_48	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_49	Enterobacteriaceae	Bacteria	Salmonella
peptide_50	root	Bacteria	Escherichia
peptide_51	Enterobacteriaceae	Bacteria	Salmonella
peptide_52	Enterobacteriaceae	root	Salmonella
peptide_53	Enterobacteriaceae	Bacteria	Salmonella
peptide_54	Enterobacteriaceae	root	Escherichia
peptide_55	root	Bacteria	Other
peptide_56	Enterobacteriaceae	root	Other
peptide_57	root	Bacteria	Salmonella
peptide_58	root	root	Other
peptide_59	root	root	Escherichia
peptide_60	Enterobacteriaceae	Bacteria	Bacillus
peptide_61	root	root	Salmonella
peptide_62	Enterobacteriaceae	root	Other
peptide_63	root	Bacteria	Salmonella
peptide_64	root	root	Other
peptide_65	Enterobacteriaceae	root	Salmonella
peptide_66	Enterobacteriaceae	root	Salmonella
peptide_67	root	Bacteria	Other
peptide_68	root	Bacteria	Other
peptide_69	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_70	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_71	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_72	Enterobacteriaceae	root	Bacillus
peptide_73	root	root	Bacillus
peptide_74	Enterobacteriaceae	Bacteria	Escherichia
peptide_75	Enterobacteriaceae	root	Tequatrovirus
peptide_76	root	Bacteria	Bacillus
peptide_77	root	Bacteria	Salmonella
peptide_78	root	Bacteria	Bacillus
peptide_79	Enterobacteriaceae	Bacteria	Salmonella
peptide_80	Enterobacteriaceae	root	Bacillus
peptide_81	Enterobacteriaceae	root	Other
peptide_82	Enterobacteriaceae	root	Bacillus
peptide_83	Enterobacteriaceae	Bacteria	Salmonella
peptide_84	root	root	Salmonella
peptide_85	root	root	Tequatrovirus
peptide_86	Enterobacteriaceae	root	Salmonella
peptide_87	Enterobacteriaceae	Bacteria	Escherichia
peptide_88	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_89	Enterobacteriaceae	Bacteria	Salmonella
peptide_90	root	root	Salmonella
peptide_91	Enterobacteriaceae	root	Bacillus
peptide_92	Enterobacteriaceae	Bacteria	Salmonella
peptide_93	Enterobacteriaceae	Bacteria	Salmonella
peptide_94	Enterobacteriaceae	root	Other
peptide_95	Enterobacteriaceae	root	Other
peptide_96	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_97	Enterobacteriaceae	root	Tequatrovirus
peptide_98	root	Bacteria	Tequatrovirus
peptide_99	Enterobacteriaceae	root	Other
