peptide	lca	superkingdom	genus
peptide_0	root	root	Salmonella
peptide_1	root	root	Other
peptide_2	Enterobacteriaceae	Bacteria	Escherichia
peptide_3	Enterobacteriaceae	root	Salmonella
peptide_4	root	root	Other
peptide_5	Enterobacteriaceae	root	Tequatrovirus
peptide_6	root	Bacteria	Salmonella
peptide_7	root	root	Other
peptide_8	root	root	Tequatrovirus
peptide_9	root	root	Other
peptide_10	Enterobacteriaceae	Bacteria	Other
peptide_11	Enterobacteriaceae	Bacteria	Bacillus
peptide_12	root	root	Tequatrovirus
peptide_13	Enterobacteriaceae	Bacteria	Bacillus
peptide_14	Enterobacteriaceae	root	Other
peptide_15	Enterobacteriaceae	root	Escherichia
peptide_16	root	root	Bacillus
peptide_17	Enterobacteriaceae	root	Other
peptide_18	Enterobacteriaceae	root	Escherichia
peptide_19	Enterobacteriaceae	root	Other
peptide_20	Enterobacteriaceae	Bacteria	Other
peptide_21	Enterobacteriaceae	Bacteria	Salmonella
peptide_22	root	Bacteria	Other
peptide_23	Enterobacteriaceae	root	Escherichia
peptide_24	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_25	root	Bacteria	Salmonella
peptide_26	root	Bacteria	Bacillus
peptide_27	root	Bacteria	Bacillus
peptide_28	Enterobacteriaceae	root	Other
peptide_29	Enterobacteriaceae	root	Escherichia
peptide_30	root	Bacteria	Other
peptide_31	Enterobacteriaceae	Bacteria	Escherichia
peptide_32	root	root	Salmonella
peptide_33	root	root	Other
peptide_34	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_35	Enterobacteriaceae	root	Salmonella
peptide_36	root	root	Escherichia
peptide_37	root	root	Tequatrovirus
peptide_38	Enterobacteriaceae	Bacteria	Other
peptide_39	root	Bacteria	Tequatrovirus
peptide_40	Enterobacteriaceae	Bacteria	Bacillus
peptide_41	Enterobacteriaceae	root	Tequatrovirus
peptide_42	root	Bacteria	Other
peptide_43	root	Bacteria	Other
peptide_44	root	Bacteria	Salmonella
peptide_45	Enterobacteriaceae	Bacteria	Escherichia
peptide_46	Enterobacteriaceae	Bacteria	Escherichia
peptide_47	root	Bacteria	Escherichia
peptide_48	root	Bacteria	Escherichia
peptide_49	Enterobacteriaceae	root	Escherichia
peptide_50	Enterobacteriaceae	root	Salmonella
peptide_51	root	Bacteria	Salmonella
peptide_52	root	Bacteria	Salmonella
peptide_53	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_54	root	root	Other
peptide_55	root	Bacteria	Tequatrovirus
peptide_56	Enterobacteriaceae	root	Other
peptide_57	root	root	Other
peptide_58	root	root	Other
peptide_59	root	root	Tequatrovirus
peptide_60	Enterobacteriaceae	Bacteria	Other
peptide_61	root	root	Other
peptide_62	Enterobacteriaceae	root	Escherichia
peptide_63	root	root	Salmonella
peptide_64	root	Bacteria	Tequatrovirus
peptide_65	root	root	Salmonella
peptide_66	root	Bacteria	Escherichia
peptide_67	root	Bacteria	Salmonella
peptide_68	Enterobacteriaceae	Bacteria	Other
peptide_69	Enterobacteriaceae	root	Tequatrovirus
peptide_70	root	Bacteria	Tequatrovirus
peptide_71	Enterobacteriaceae	root	Escherichia
peptide_72	root	root	Salmonella
peptide_73	Enterobacteriaceae	root	Bacillus
peptide_74	Enterobacteriaceae	root	Salmonella
peptide_75	root	Bacteria	Escherichia
peptide_76	Enterobacteriaceae	Bacteria	Bacillus
peptide_77	root	root	Other
peptide_78	root	root	Escherichia
peptide_79	Enterobacteriaceae	root	Bacillus
peptide_80	root	Bacteria	Tequatrovirus
peptide_81	Enterobacteriaceae	root	Salmonella
peptide_82	Enterobacteriaceae	root	Salmonella
peptide_83	root	root	Tequatrovirus
peptide_84	root	Bacteria	Other
peptide_85	Enterobacteriaceae	Bacteria	Salmonella
peptide_86	Enterobacteriaceae	root	Escherichia
peptide_87	root	Bacteria	Salmonella
peptide_88	root	Bacteria	Tequatrovirus
peptide_89	Enterobacteriaceae	root	Other
peptide_90	root	root	Other
peptide_91	root	Bacteria	Tequatrovirus
peptide_92	root	Bacteria	Other
peptide_93	root	root	Escherichia
peptide_94	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_95	root	Bacteria	Salmonella
peptide_96	Enterobacteriaceae	root	Escherichia
peptide_97	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_98	Enterobacteriaceae	Bacteria	Bacillus
peptide_99	Enterobacteriaceae	root	Escherichia
