peptide	lca	superkingdom	genus
peptide_0	Enterobacteriaceae	Bacteria	Salmonella
peptide_1	root	Bacteria	Escherichia
peptide_2	Enterobacteriaceae	root	Salmonella
peptide_3	root	root	Salmonella
peptide_4	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_5	root	root	Salmonella
peptide_6	Enterobacteriaceae	root	Other
peptide_7	Enterobacteriaceae	root	Other
peptide_8	root	root	Other
peptide_9	Enterobacteriaceae	Bacteria	Salmonella
peptide_10	Enterobacteriaceae	Bacteria	Salmonella
peptide_11	Enterobacteriaceae	root	Other
peptide_12	root	root	Escherichia
peptide_13	Enterobacteriaceae	root	Other
peptide_14	root	Bacteria	Other
peptide_15	Enterobacteriaceae	root	Tequatrovirus
peptide_16	root	Bacteria	Escherichia
peptide_17	root	root	Escherichia
peptide_18	root	root	Salmonella
peptide_19	Enterobacteriaceae	root	Escherichia
peptide_20	root	Bacteria	Other
peptide_21	root	Bacteria	Tequatrovirus
peptide_22	Enterobacteriaceae	Bacteria	Salmonella
peptide_23	root	Bacteria	Tequatrovirus
peptide_24	root	root	Other
peptide_25	Enterobacteriaceae	root	Other
peptide_26	Enterobacteriaceae	root	Tequatrovirus
peptide_27	root	root	Other
peptide_28	root	root	Salmonella
peptide_29	root	Bacteria	Salmonella
peptide_30	Enterobacteriaceae	root	Salmonella
peptide_31	Enterobacteriaceae	root	Tequatrovirus
peptide_32	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_33	root	root	Salmonella
peptide_34	Enterobacteriaceae	Bacteria	Salmonella
peptide_35	root	Bacteria	Salmonella
peptide_36	Enterobacteriaceae	Bacteria	Other
peptide_37	Enterobacteriaceae	root	Salmonella
peptide_38	root	Bacteria	Other
peptide_39	Enterobacteriaceae	Bacteria	Bacillus
peptide_40	root	root	Salmonella
peptide_41	root	Bacteria	Other
peptide_42	Enterobacteriaceae	root	Salmonella
peptide_43	root	Bacteria	Other
peptide_44	Enterobacteriaceae	Bacteria	Other
peptide_45	root	Bacteria	Tequatrovirus
peptide_46	Enterobacteriaceae	Bacteria	Bacillus
peptide_47	Enterobacteriaceae	root	Tequatrovirus
peptide_48	root	root	Bacillus
peptide_49	Enterobacteriaceae	root	Salmonella
peptide_50	root	Bacteria	Salmonella
peptide_51	root	root	Escherichia
peptide_52	root	root	Other
peptide_53	root	Bacteria	Salmonella
peptide_54	root	Bacteria	Other
peptide_55	root	root	Escherichia
peptide_56	root	root	Salmonella
peptide_57	Enterobacteriaceae	Bacteria	Escherichia
peptide_58	Enterobacteriaceae	root	Tequatrovirus
peptide_59	Enterobacteriaceae	Bacteria	Salmonella
peptide_60	Enterobacteriaceae	root	Other
peptide_61	Enterobacteriaceae	root	Salmonella
peptide_62	root	root	Tequatrovirus
peptide_63	Enterobacteriaceae	root	Salmonella
peptide_64	Enterobacteriaceae	root	Escherichia
peptide_65	Enterobacteriaceae	root	Tequatrovirus
peptide_66	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_67	root	root	Escherichia
peptide_68	Enterobacteriaceae	Bacteria	Other
peptide_69	root	Bacteria	Other
peptide_70	Enterobacteriaceae	Bacteria	Other
peptide_71	Enterobacteriaceae	root	Salmonella
peptide_72	Enterobacteriaceae	Bacteria	Salmonella
peptide_73	Enterobacteriaceae	root	Salmonella
peptide_74	root	Bacteria	Tequatrovirus
peptide_75	root	Bacteria	Other
peptide_76	Enterobacteriaceae	Bacteria	Salmonella
peptide_77	Enterobacteriaceae	root	Tequatrovirus
peptide_78	root	Bacteria	Tequatrovirus
peptide_79	Enterobacteriaceae	Bacteria	Salmonella
peptide_80	Enterobacteriaceae	root	Other
peptide_81	root	Bacteria	Salmonella
peptide_82	Enterobacteriaceae	root	Other
peptide_83	root	Bacteria	Salmonella
peptide_84	Enterobacteriaceae	root	Tequatrovirus
peptide_85	Enterobacteriaceae	Bacteria	Other
peptide_86	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_87	root	Bacteria	Other
peptide_88	Enterobacteriaceae	Bacteria	Escherichia
peptide_89	root	root	Escherichia
peptide_90	Enterobacteriaceae	Bacteria	Other
peptide_91	Enterobacteriaceae	Bacteria	Other
peptide_92	root	Bacteria	Escherichia
peptide_93	Enterobacteriaceae	root	Other
peptide_94	Enterobacteriaceae	root	Salmonella
peptide_95	root	Bacteria	Bacillus
peptide_96	Enterobacteriaceae	Bacteria	Salmonella
peptide_97	root	root	Salmonella
peptide_98	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_99	root	Bacteria	Salmonella
