peptide	lca	superkingdom	genus
peptide_0	root	Bacteria	Other
peptide_1	Enterobacteriaceae	root	Bacillus
peptide_2	root	root	Escherichia
peptide_3	root	Bacteria	Tequatrovirus
peptide_4	root	Bacteria	Bacillus
peptide_5	root	Bacteria	Tequatrovirus
peptide_6	Enterobacteriaceae	Bacteria	Other
peptide_7	Enterobacteriaceae	root	Salmonella
peptide_8	root	root	Escherichia
peptide_9	root	Bacteria	Other
peptide_10	root	root	Other
peptide_11	root	root	Other
peptide_12	root	root	Tequatrovirus
peptide_13	root	root	Other
peptide_14	root	root	Tequatrovirus
peptide_15	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_16	root	root	Salmonella
peptide_17	Enterobacteriaceae	root	Salmonella
peptide_18	Enterobacteriaceae	Bacteria	Other
peptide_19	Enterobacteriaceae	Bacteria	Other
peptide_20	root	root	Salmonella
peptide_21	root	root	Tequatrovirus
peptide_22	root	root	Tequatrovirus
peptide_23	root	Bacteria	Bacillus
peptide_24	root	Bacteria	Salmonella
peptide_25	Enterobacteriaceae	root	Escherichia
peptide_26	Enterobacteriaceae	Bacteria	Other
peptide_27	root	Bacteria	Bacillus
peptide_28	Enterobacteriaceae	Bacteria	Other
peptide_29	Enterobacteriaceae	root	Bacillus
peptide_30	root	Bacteria	Other
peptide_31	root	Bacteria	Salmonella
peptide_32	Enterobacteriaceae	Bacteria	Escherichia
peptide_33	Enterobacteriaceae	root	Other
peptide_34	Enterobacteriaceae	root	Bacillus
peptide_35	Enterobacteriaceae	root	Other
peptide_36	root	root	Other
peptide_37	Enterobacteriaceae	Bacteria	Other
peptide_38	root	root	Escherichia
peptide_39	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_40	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_41	root	Bacteria	Bacillus
peptide_42	root	root	Salmonella
peptide_43	Enterobacteriaceae	root	Escherichia
peptide_44	Enterobacteriaceae	Bacteria	Salmonella
peptide_45	root	Bacteria	Salmonella
peptide_46	Enterobacteriaceae	Bacteria	Bacillus
peptide_47	root	root	Escherichia
peptide_48	Enterobacteriaceae	root	Tequatrovirus
peptide_49	root	Bacteria	Bacillus
peptide_50	Enterobacteriaceae	Bacteria	Other
peptide_51	Enterobacteriaceae	Bacteria	Other
peptide_52	root	Bacteria	Tequatrovirus
peptide_53	root	Bacteria	Other
peptide_54	Enterobacteriaceae	root	Salmonella
peptide_55	root	root	Other
peptide_56	root	Bacteria	Escherichia
peptide_57	Enterobacteriaceae	root	Other
peptide_58	root	Bacteria	Other
peptide_59	root	root	Tequatrovirus
peptide_60	root	root	Other
peptide_61	root	Bacteria	Bacillus
peptide_62	root	root	Salmonella
peptide_63	Enterobacteriaceae	Bacteria	Salmonella
peptide_64	root	Bacteria	Salmonella
peptide_65	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_66	root	root	Salmonella
peptide_67	Enterobacteriaceae	Bacteria	Salmonella
peptide_68	Enterobacteriaceae	root	Salmonella
peptide_69	Enterobacteriaceae	root	Salmonella
peptide_70	root	Bacteria	Salmonella
peptide_71	root	root	Bacillus
peptide_72	Enterobacteriaceae	Bacteria	Escherichia
peptide_73	root	Bacteria	Salmonella
peptide_74	root	Bacteria	Salmonella
peptide_75	Enterobacteriaceae	root	Escherichia
peptide_76	root	root	Escherichia
peptide_77	Enterobacteriaceae	root	Other
peptide_78	root	Bacteria	Salmonella
peptide_79	root	Bacteria	Salmonella
peptide_80	Enterobacteriaceae	Bacteria	Salmonella
peptide_81	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_82	root	root	Salmonella
peptide_83	Enterobacteriaceae	root	Bacillus
peptide_84	root	root	Other
peptide_85	root	Bacteria	Salmonella
peptide_86	root	root	Tequatrovirus
peptide_87	Enterobacteriaceae	root	Other
peptide_88	Enterobacteriaceae	root	Other
peptide_89	root	Bacteria	Escherichia
peptide_90	Enterobacteriaceae	root	Other
peptide_91	root	Bacteria	Salmonella
peptide_92	Enterobacteriaceae	root	Salmonella
peptide_93	Enterobacteriaceae	root	Tequatrovirus
peptide_94	root	Bacteria	Bacillus
peptide_95	root	Bacteria	Salmonella
peptide_96	root	Bacteria	Salmonella
peptide_97	root	Bacteria	Other
peptide_98	Enterobacteriaceae	root	Bacillus
peptide_99	root	Bacteria	Salmonella
