peptide	lca	superkingdom	genus
peptide_0	root	Bacteria	Escherichia
peptide_1	Enterobacteriaceae	Bacteria	Other
peptide_2	Enterobacteriaceae	root	Other
peptide_3	Enterobacteriaceae	Bacteria	Salmonella
peptide_4	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_5	Enterobacteriaceae	root	Salmonella
peptide_6	Enterobacteriaceae	Bacteria	Other
peptide_7	Enterobacteriaceae	Bacteria	Other
peptide_8	root	Bacteria	Other
peptide_9	root	root	Other
peptide_10	root	Bacteria	Other
peptide_11	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_12	root	root	Other
peptide_13	Enterobacteriaceae	root	Tequatrovirus
peptide_14	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_15	root	Bacteria	Salmonella
peptide_16	root	Bacteria	Other
peptide_17	Enterobacteriaceae	root	Escherichia
peptide_18	root	root	Other
peptide_19	root	root	Other
peptide_20	Enterobacteriaceae	root	Bacillus
peptide_21	Enterobacteriaceae	Bacteria	Salmonella
peptide_22	root	Bacteria	Bacillus
peptide_23	root	root	Salmonella
peptide_24	Enterobacteriaceae	root	Other
peptide_25	root	Bacteria	Tequatrovirus
peptide_26	Enterobacteriaceae	Bacteria	Other
peptide_27	root	root	Other
peptide_28	Enterobacteriaceae	Bacteria	Escherichia
peptide_29	root	root	Tequatrovirus
peptide_30	root	root	Other
peptide_31	root	Bacteria	Salmonella
peptide_32	Enterobacteriaceae	root	Tequatrovirus
peptide_33	Enterobacteriaceae	root	Bacillus
peptide_34	root	root	Bacillus
peptide_35	root	root	Other
peptide_36	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_37	root	Bacteria	Other
peptide_38	root	Bacteria	Escherichia
peptide_39	Enterobacteriaceae	root	Tequatrovirus
peptide_40	root	Bacteria	Tequatrovirus
peptide_41	Enterobacteriaceae	root	Bacillus
peptide_42	Enterobacteriaceae	root	Salmonella
peptide_43	root	Bacteria	Other
peptide_44	Enterobacteriaceae	Bacteria	Bacillus
peptide_45	root	root	Tequatrovirus
peptide_46	root	root	Other
peptide_47	root	root	Other
peptide_48	Enterobacteriaceae	Bacteria	Escherichia
peptide_49	Enterobacteriaceae	root	Other
peptide_50	root	Bacteria	Tequatrovirus
peptide_51	Enterobacteriaceae	Bacteria	Other
peptide_52	root	root	Escherichia
peptide_53	Enterobacteriaceae	root	Salmonella
peptide_54	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_55	root	root	Other
peptide_56	root	root	Bacillus
peptide_57	root	root	Escherichia
peptide_58	root	root	Escherichia
peptide_59	root	root	Escherichia
peptide_60	root	Bacteria	Bacillus
peptide_61	root	root	Tequatrovirus
peptide_62	Enterobacteriaceae	root	Salmonella
peptide_63	Enterobacteriaceae	Bacteria	Salmonella
peptide_64	Enterobacteriaceae	Bacteria	Escherichia
peptide_65	root	root	Other
peptide_66	Enterobacteriaceae	root	Tequatrovirus
peptide_67	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_68	root	root	Other
peptide_69	Enterobacteriaceae	Bacteria	Other
peptide_70	Enterobacteriaceae	Bacteria	Other
peptide_71	root	Bacteria	Salmonella
peptide_72	root	root	Salmonella
peptide_73	root	Bacteria	Salmonella
peptide_74	root	root	Other
peptide_75	Enterobacteriaceae	Bacteria	Bacillus
peptide_76	Enterobacteriaceae	Bacteria	Escherichia
peptide_77	Enterobacteriaceae	Bacteria	Salmonella
peptide_78	Enterobacteriaceae	root	Tequatrovirus
peptide_79	Enterobacteriaceae	root	Tequatrovirus
peptide_80	root	Bacteria	Salmonella
peptide_81	root	root	Escherichia
peptide_82	Enterobacteriaceae	root	Bacillus
peptide_83	Enterobacteriaceae	root	Tequatrovirus
peptide_84	root	root	Other
peptide_85	root	root	Tequatrovirus
peptide_86	root	Bacteria	Salmonella
peptide_87	root	root	Escherichia
peptide_88	root	root	Salmonella
peptide_89	Enterobacteriaceae	root	Tequatrovirus
peptide_90	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_91	root	root	Salmonella
peptide_92	root	root	Salmonella
peptide_93	root	Bacteria	Salmonella
peptide_94	root	Bacteria	Salmonella
peptide_95	root	root	Salmonella
peptide_96	root	Bacteria	Tequatrovirus
peptide_97	Enterobacteriaceae	Bacteria	Salmonella
peptide_98	root	root	Salmonella
peptide_99	Enterobacteriaceae	root	Other
