peptide	lca	superkingdom	genus
peptide_0	root	root	Escherichia
peptide_1	Enterobacteriaceae	root	Bacillus
peptide_2	root	Bacteria	Salmonella
peptide_3	Enterobacteriaceae	root	Salmonella
peptide_4	Enterobacteriaceae	Bacteria	Other
peptide_5	root	root	Other
peptide_6	Enterobacteriaceae	Bacteria	Salmonella
peptide_7	root	root	Other
peptide_8	Enterobacteriaceae	root	Other
peptide_9	Enterobacteriaceae	Bacteria	Other
peptide_10	root	root	Escherichia
peptide_11	root	root	Salmonella
peptide_12	Enterobacteriaceae	Bacteria	Salmonella
peptide_13	Enterobacteriaceae	root	Tequatrovirus
peptide_14	root	root	Escherichia
peptide_15	Enterobacteriaceae	Bacteria	Other
peptide_16	root	Bacteria	Escherichia
peptide_17	root	Bacteria	Salmonella
peptide_18	root	root	Salmonella
peptide_19	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_20	Enterobacteriaceae	root	Salmonella
peptide_21	root	root	Other
peptide_22	root	Bacteria	Tequatrovirus
peptide_23	root	Bacteria	Bacillus
peptide_24	root	root	Salmonella
peptide_25	root	root	Other
peptide_26	Enterobacteriaceae	Bacteria	Escherichia
peptide_27	Enterobacteriaceae	root	Bacillus
peptide_28	Enterobacteriaceae	Bacteria	Salmonella
peptide_29	root	root	Escherichia
peptide_30	Enterobacteriaceae	Bacteria	Bacillus
peptide_31	Enterobacteriaceae	root	Other
peptide_32	root	Bacteria	Salmonella
peptide_33	root	Bacteria	Escherichia
peptide_34	Enterobacteriaceae	root	Salmonella
peptide_35	root	root	Other
peptide_36	root	Bacteria	Other
peptide_37	root	root	Other
peptide_38	root	root	Other
peptide_39	root	root	Salmonella
peptide_40	root	root	Tequatrovirus
peptide_41	Enterobacteriaceae	Bacteria	Salmonella
peptide_42	Enterobacteriaceae	root	Salmonella
peptide_43	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_44	root	root	Escherichia
peptide_45	root	root	Other
peptide_46	Enterobacteriaceae	root	Escherichia
peptide_47	root	Bacteria	Salmonella
peptide_48	root	root	Other
peptide_49	root	root	Escherichia
peptide_50	root	Bacteria	Salmonella
peptide_51	root	Bacteria	Tequatrovirus
peptide_52	Enterobacteriaceae	Bacteria	Escherichia
peptide_53	root	Bacteria	Escherichia
peptide_54	Enterobacteriaceae	Bacteria	Other
peptide_55	Enterobacteriaceae	root	Escherichia
peptide_56	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_57	Enterobacteriaceae	root	Tequatrovirus
peptide_58	Enterobacteriaceae	Bacteria	Escherichia
peptide_59	Enterobacteriaceae	Bacteria	Bacillus
peptide_60	Enterobacteriaceae	root	Escherichia
peptide_61	Enterobacteriaceae	root	Salmonella
peptide_62	root	Bacteria	Tequatrovirus
peptide_63	Enterobacteriaceae	Bacteria	Other
peptide_64	root	root	Other
peptide_65	root	root	Tequatrovirus
peptide_66	Enterobacteriaceae	root	Other
peptide_67	Enterobacteriaceae	Bacteria	Other
peptide_68	root	Bacteria	Other
peptide_69	root	Bacteria	Salmonella
peptide_70	Enterobacteriaceae	Bacteria	Salmonella
peptide_71	root	Bacteria	Escherichia
peptide_72	Enterobacteriaceae	root	Escherichia
peptide_73	Enterobacteriaceae	root	Tequatrovirus
peptide_74	root	root	Tequatrovirus
peptide_75	root	Bacteria	Salmonella
peptide_76	root	Bacteria	Other
peptide_77	Enterobacteriaceae	Bacteria	Escherichia
peptide_78	root	Bacteria	Salmonella
peptide_79	Enterobacteriaceae	Bacteria	Bacillus
peptide_80	root	root	Other
peptide_81	root	Bacteria	Tequatrovirus
peptide_82	Enterobacteriaceae	root	Other
peptide_83	root	Bacteria	Tequatrovirus
peptide_84	Enterobacteriaceae	Bacteria	Escherichia
peptide_85	root	root	Escherichia
peptide_86	root	root	Bacillus
peptide_87	Enterobacteriaceae	Bacteria	Other
peptide_88	Enterobacteriaceae	Bacteria	Other
peptide_89	Enterobacteriaceae	Bacteria	Bacillus
peptide_90	root	Bacteria	Escherichia
peptide_91	Enterobacteriaceae	root	Bacillus
peptide_92	root	root	Other
peptide_93	Enterobacteriaceae	root	Escherichia
peptide_94	root	root	Salmonella
peptide_95	Enterobacteriaceae	Bacteria	Salmonella
peptide_96	Enterobacteriaceae	root	Bacillus
peptide_97	root	Bacteria	Tequatrovirus
peptide_98	root	Bacteria	Salmonella
peptide_99	Enterobacteriaceae	root	Salmonella
