peptide	lca	superkingdom	genus
peptide_0	root	Bacteria	Bacillus
peptide_1	Enterobacteriaceae	root	Other
peptide_2	Enterobacteriaceae	root	Tequatrovirus
peptide_3	Enterobacteriaceae	root	Other
peptide_4	Enterobacteriaceae	Bacteria	Escherichia
peptide_5	root	root	Tequatrovirus
peptide_6	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_7	root	root	Other
peptide_8	root	Bacteria	Salmonella
peptide_9	root	Bacteria	Other
peptide_10	root	root	Other
peptide_11	root	root	Tequatrovirus
peptide_12	root	Bacteria	Salmonella
peptide_13	Enterobacteriaceae	Bacteria	Escherichia
peptide_14	Enterobacteriaceae	root	Other
peptide_15	root	root	Other
peptide_16	Enterobacteriaceae	root	Other
peptide_17	root	Bacteria	Escherichia
peptide_18	root	root	Tequatrovirus
peptide_19	root	root	Escherichia
peptide_20	root	root	Salmonella
peptide_21	root	Bacteria	Tequatrovirus
peptide_22	root	Bacteria	Salmonella
peptide_23	root	root	Escherichia
peptide_24	Enterobacteriaceae	root	Other
peptide_25	Enterobacteriaceae	Bacteria	Other
peptide_26	root	Bacteria	Salmonella
peptide_27	Enterobacteriaceae	root	Escherichia
peptide_28	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_29	root	root	Other
peptide_30	root	root	Salmonella
peptide_31	root	Bacteria	Tequatrovirus
peptide_32	root	Bacteria	Other
peptide_33	Enterobacteriaceae	root	Escherichia
peptide_34	root	root	Other
peptide_35	Enterobacteriaceae	root	Other
peptide_36	root	root	Tequatrovirus
peptide_37	root	root	Tequatrovirus
peptide_38	root	Bacteria	Other
peptide_39	Enterobacteriaceae	Bacteria	Salmonella
peptide_40	root	root	Salmonella
peptide_41	root	root	Tequatrovirus
peptide_42	root	Bacteria	Other
peptide_43	Enterobacteriaceae	Bacteria	Bacillus
peptide_44	root	Bacteria	Other
peptide_45	root	Bacteria	Tequatrovirus
peptide_46	root	root	Escherichia
peptide_47	root	Bacteria	Other
peptide_48	Enterobacteriaceae	root	Tequatrovirus
peptide_49	root	Bacteria	Salmonella
peptide_50	root	root	Other
peptide_51	root	root	Other
peptide_52	Enterobacteriaceae	root	Other
peptide_53	root	root	Tequatrovirus
peptide_54	Enterobacteriaceae	root	Tequatrovirus
peptide_55	root	Bacteria	Other
peptide_56	Enterobacteriaceae	root	Salmonella
peptide_57	Enterobacteriaceae	Bacteria	Other
peptide_58	Enterobacteriaceae	root	Other
peptide_59	root	root	Tequatrovirus
peptide_60	root	root	Salmonella
peptide_61	Enterobacteriaceae	Bacteria	Other
peptide_62	root	Bacteria	Other
peptide_63	root	Bacteria	Salmonella
peptide_64	root	root	Salmonella
peptide_65	root	root	Salmonella
peptide_66	root	Bacteria	Salmonella
peptide_67	root	Bacteria	Salmonella
peptide_68	root	root	Escherichia
peptide_69	Enterobacteriaceae	root	Salmonella
peptide_70	root	Bacteria	Escherichia
peptide_71	Enterobacteriaceae	Bacteria	Other
peptide_72	Enterobacteriaceae	root	Salmonella
peptide_73	Enterobacteriaceae	root	Salmonella
peptide_74	root	Bacteria	Other
peptide_75	root	Bacteria	Other
peptide_76	root	Bacteria	Other
peptide_77	root	root	Other
peptide_78	Enterobacteriaceae	root	Escherichia
peptide_79	root	root	Salmonella
peptide_80	root	root	Escherichia
peptide_81	Enterobacteriaceae	Bacteria	Bacillus
peptide_82	Enterobacteriaceae	root	Other
peptide_83	Enterobacteriaceae	root	Tequatrovirus
peptide_84	Enterobacteriaceae	root	Other
peptide_85	Enterobacteriaceae	root	Salmonella
peptide_86	Enterobacteriaceae	root	Bacillus
peptide_87	root	Bacteria	Salmonella
peptide_88	root	Bacteria	Bacillus
peptide_89	root	root	Salmonella
peptide_90	root	Bacteria	Other
peptide_91	Enterobacteriaceae	Bacteria	Salmonella
peptide_92	root	Bacteria	Escherichia
peptide_93	root	root	Salmonella
peptide_94	root	Bacteria	Escherichia
peptide_95	root	root	Bacillus
peptide_96	Enterobacteriaceae	Bacteria	Other
peptide_97	root	Bacteria	Other
peptide_98	Enterobacteriaceae	root	Escherichia
peptide_99	Enterobacteriaceae	Bacteria	Salmonella
