peptide	lca	superkingdom	genus
peptide_0	root	root	Tequatrovirus
peptide_1	root	root	Salmonella
peptide_2	root	Bacteria	Salmonella
peptide_3	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_4	Enterobacteriaceae	Bacteria	Salmonella
peptide_5	root	root	Tequatrovirus
peptide_6	root	root	Escherichia
peptide_7	Enterobacteriaceae	Bacteria	Bacillus
peptide_8	Enterobacteriaceae	root	Other
peptide_9	Enterobacteriaceae	Bacteria	Other
peptide_10	Enterobacteriaceae	Bacteria	Salmonella
peptide_11	root	root	Tequatrovirus
peptide_12	root	Bacteria	Escherichia
peptide_13	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_14	Enterobacteriaceae	root	Escherichia
peptide_15	root	root	Tequatrovirus
peptide_16	root	root	Salmonella
peptide_17	Enterobacteriaceae	Bacteria	Salmonella
peptide_18	Enterobacteriaceae	Bacteria	Escherichia
peptide_19	Enterobacteriaceae	Bacteria	Other
peptide_20	Enterobacteriaceae	Bacteria	Other
peptide_21	root	Bacteria	Salmonella
peptide_22	Enterobacteriaceae	root	Other
peptide_23	Enterobacteriaceae	root	Escherichia
peptide_24	root	root	Salmonella
peptide_25	root	root	Escherichia
peptide_26	Enterobacteriaceae	root	Bacillus
peptide_27	root	Bacteria	Tequatrovirus
peptide_28	root	Bacteria	Bacillus
peptide_29	Enterobacteriaceae	root	Other
peptide_30	Enterobacteriaceae	root	Salmonella
peptide_31	Enterobacteriaceae	root	Escherichia
peptide_32	root	root	Tequatrovirus
peptide_33	Enterobacteriaceae	root	Other
peptide_34	root	root	Escherichia
peptide_35	Enterobacteriaceae	Bacteria	Escherichia
peptide_36	Enterobacteriaceae	Bacteria	Other
peptide_37	Enterobacteriaceae	Bacteria	Salmonella
peptide_38	Enterobacteriaceae	root	Escherichia
peptide_39	root	Bacteria	Escherichia
peptide_40	Enterobacteriaceae	Bacteria	Other
peptide_41	root	Bacteria	Tequatrovirus
peptide_42	Enterobacteriaceae	root	Tequatrovirus
peptide_43	Enterobacteriaceae	root	Salmonella
peptide_44	root	root	Other
peptide_45	Enterobacteriaceae	root	Escherichia
peptide_46	root	Bacteria	Bacillus
peptide_47	Enterobacteriaceae	root	Other
peptide_48	root	Bacteria	Other
peptide_49	root	root	Salmonella
peptide_50	root	Bacteria	Salmonella
peptide_51	Enterobacteriaceae	root	Other
peptide_52	Enterobacteriaceae	root	Other
peptide_53	root	root	Tequatrovirus
peptide_54	Enterobacteriaceae	Bacteria	Bacillus
peptide_55	root	Bacteria	Bacillus
peptide_56	root	Bacteria	Other
peptide_57	Enterobacteriaceae	root	Escherichia
peptide_58	Enterobacteriaceae	root	Other
peptide_59	Enterobacteriaceae	Bacteria	Other
peptide_60	Enterobacteriaceae	Bacteria	Salmonella
peptide_61	root	root	Tequatrovirus
peptide_62	Enterobacteriaceae	Bacteria	Salmonella
peptide_63	Enterobacteriaceae	root	Tequatrovirus
peptide_64	Enterobacteriaceae	Bacteria	Other
peptide_65	Enterobacteriaceae	root	Salmonella
peptide_66	root	Bacteria	Tequatrovirus
peptide_67	root	Bacteria	Salmonella
peptide_68	root	root	Other
peptide_69	root	Bacteria	Salmonella
peptide_70	root	Bacteria	Other
peptide_71	Enterobacteriaceae	Bacteria	Salmonella
peptide_72	root	root	Salmonella
peptide_73	root	Bacteria	Escherichia
peptide_74	Enterobacteriaceae	root	Other
peptide_75	root	root	Escherichia
peptide_76	root	Bacteria	Salmonella
peptide_77	root	Bacteria	Tequatrovirus
peptide_78	root	Bacteria	Escherichia
peptide_79	root	Bacteria	Other
peptide_80	Enterobacteriaceae	Bacteria	Escherichia
peptide_81	root	root	Escherichia
peptide_82	root	root	Salmonella
peptide_83	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_84	Enterobacteriaceae	Bacteria	Escherichia
peptide_85	root	root	Tequatrovirus
peptide_86	Enterobacteriaceae	root	Escherichia
peptide_87	root	root	Tequatrovirus
peptide_88	root	Bacteria	Tequatrovirus
peptide_89	root	root	Salmonella
peptide_90	Enterobacteriaceae	Bacteria	Salmonella
peptide_91	Enterobacteriaceae	root	Other
peptide_92	Enterobacteriaceae	Bacteria	Escherichia
peptide_93	root	Bacteria	Other
peptide_94	root	Bacteria	Tequatrovirus
peptide_95	Enterobacteriaceae	root	Other
peptide_96	root	Bacteria	Salmonella
peptide_97	root	root	Bacillus
peptide_98	Enterobacteriaceae	Bacteria	Other
peptide_99	Enterobacteriaceae	root	Escherichia
