peptide	lca	superkingdom	genus
peptide_0	Enterobacteriaceae	root	Salmonella
peptide_1	Enterobacteriaceae	Bacteria	Escherichia
peptide_2	root	Bacteria	Other
peptide_3	root	Bacteria	Other
peptide_4	Enterobacteriaceae	root	Escherichia
peptide_5	root	Bacteria	Other
peptide_6	Enterobacteriaceae	root	Bacillus
peptide_7	root	root	Bacillus
peptide_8	Enterobacteriaceae	Bacteria	Other
peptide_9	root	Bacteria	Other
peptide_10	Enterobacteriaceae	Bacteria	Escherichia
peptide_11	Enterobacteriaceae	Bacteria	Escherichia
peptide_12	Enterobacteriaceae	root	Salmonella
peptide_13	root	root	Salmonella
peptide_14	Enterobacteriaceae	Bacteria	Escherichia
peptide_15	Enterobacteriaceae	Bacteria	Salmonella
peptide_16	root	Bacteria	Tequatrovirus
peptide_17	root	Bacteria	Salmonella
peptide_18	Enterobacteriaceae	root	Tequatrovirus
peptide_19	Enterobacteriaceae	Bacteria	Other
peptide_20	Enterobacteriaceae	Bacteria	Salmonella
peptide_21	Enterobacteriaceae	Bacteria	Other
peptide_22	Enterobacteriaceae	Bacteria	Salmonella
peptide_23	Enterobacteriaceae	Bacteria	Salmonella
peptide_24	root	Bacteria	Other
peptide_25	Enterobacteriaceae	root	Bacillus
peptide_26	root	root	Other
peptide_27	Enterobacteriaceae	Bacteria	Other
peptide_28	Enterobacteriaceae	Bacteria	Bacillus
peptide_29	root	root	Salmonella
peptide_30	Enterobacteriaceae	root	Salmonella
peptide_31	Enterobacteriaceae	root	Escherichia
peptide_32	root	Bacteria	Other
peptide_33	Enterobacteriaceae	Bacteria	Other
peptide_34	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_35	root	root	Escherichia
peptide_36	Enterobacteriaceae	Bacteria	Salmonella
peptide_37	root	Bacteria	Bacillus
peptide_38	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_39	Enterobacteriaceae	root	Tequatrovirus
peptide_40	Enterobacteriaceae	root	Salmonella
peptide_41	Enterobacteriaceae	Bacteria	Bacillus
peptide_42	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_43	root	root	Other
peptide_44	Enterobacteriaceae	root	Bacillus
peptide_45	root	Bacteria	Tequatrovirus
peptide_46	root	Bacteria	Escherichia
peptide_47	root	root	Other
peptide_48	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_49	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_50	Enterobacteriaceae	root	Tequatrovirus
peptide_51	root	root	Tequatrovirus
peptide_52	root	root	Salmonella
peptide_53	Enterobacteriaceae	root	Bacillus
peptide_54	root	root	Tequatrovirus
peptide_55	Enterobacteriaceae	Bacteria	Escherichia
peptide_56	Enterobacteriaceae	Bacteria	Salmonella
peptide_57	root	root	Other
peptide_58	Enterobacteriaceae	root	Tequatrovirus
peptide_59	root	Bacteria	Escherichia
peptide_60	Enterobacteriaceae	Bacteria	Salmonella
peptide_61	Enterobacteriaceae	root	Bacillus
peptide_62	Enterobacteriaceae	Bacteria	Salmonella
peptide_63	root	Bacteria	Other
peptide_64	Enterobacteriaceae	Bacteria	Escherichia
peptide_65	Enterobacteriaceae	Bacteria	Other
peptide_66	root	root	Salmonella
peptide_67	root	Bacteria	Escherichia
peptide_68	root	Bacteria	Other
peptide_69	root	Bacteria	Other
peptide_70	root	root	Other
peptide_71	Enterobacteriaceae	Bacteria	Salmonella
peptide_72	Enterobacteriaceae	Bacteria	Escherichia
peptide_73	Enterobacteriaceae	root	Tequatrovirus
peptide_74	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_75	Enterobacteriaceae	root	Bacillus
peptide_76	root	root	Salmonella
peptide_77	Enterobacteriaceae	root	Salmonella
peptide_78	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_79	Enterobacteriaceae	root	Tequatrovirus
peptide_80	root	root	Other
peptide_81	root	Bacteria	Tequatrovirus
peptide_82	root	root	Salmonella
peptide_83	root	root	Other
peptide_84	root	root	Escherichia
peptide_85	Enterobacteriaceae	root	Salmonella
peptide_86	Enterobacteriaceae	root	Escherichia
peptide_87	root	root	Escherichia
peptide_88	Enterobacteriaceae	root	Bacillus
peptide_89	root	Bacteria	Other
peptide_90	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_91	Enterobacteriaceae	root	Other
peptide_92	Enterobacteriaceae	Bacteria	Salmonella
peptide_93	Enterobacteriaceae	root	Bacillus
peptide_94	root	root	Tequatrovirus
peptide_95	root	Bacteria	Salmonella
peptide_96	Enterobacteriaceae	root	Other
peptide_97	root	root	Tequatrovirus
peptide_98	Enterobacteriaceae	Bacteria	Other
peptide_99	root	Bacteria	Salmonella
