peptide	lca	superkingdom	genus
peptide_0	Enterobacteriaceae	root	Bacillus
peptide_1	Enterobacteriaceae	root	Bacillus
peptide_2	root	Bacteria	Salmonella
peptide_3	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_4	root	Bacteria	Tequatrovirus
peptide_5	Enterobacteriaceae	root	Other
peptide_6	root	Bacteria	Salmonella
peptide_7	Enterobacteriaceae	Bacteria	Other
peptide_8	root	Bacteria	Bacillus
peptide_9	root	Bacteria	Salmonella
peptide_10	root	Bacteria	Salmonella
peptide_11	root	Bacteria	Escherichia
peptide_12	root	root	Escherichia
peptide_13	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_14	Enterobacteriaceae	Bacteria	Other
peptide_15	root	root	Tequatrovirus
peptide_16	Enterobacteriaceae	Bacteria	Bacillus
peptide_17	root	root	Other
peptide_18	Enterobacteriaceae	Bacteria	Other
peptide_19	Enterobacteriaceae	root	Salmonella
peptide_20	Enterobacteriaceae	Bacteria	Salmonella
peptide_21	root	root	Salmonella
peptide_22	Enterobacteriaceae	root	Other
peptide_23	Enterobacteriaceae	root	Tequatrovirus
peptide_24	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_25	Enterobacteriaceae	Bacteria	Escherichia
peptide_26	root	Bacteria	Escherichia
peptide_27	Enterobacteriaceae	Bacteria	Salmonella
peptide_28	root	Bacteria	Salmonella
peptide_29	Enterobacteriaceae	Bacteria	Salmonella
peptide_30	Enterobacteriaceae	root	Salmonella
peptide_31	root	root	Salmonella
peptide_32	root	Bacteria	Other
peptide_33	root	root	Tequatrovirus
peptide_34	root	root	Escherichia
peptide_35	root	Bacteria	Bacillus
peptide_36	root	Bacteria	Salmonella
peptide_37	root	Bacteria	Salmonella
peptide_38	Enterobacteriaceae	Bacteria	Salmonella
peptide_39	root	Bacteria	Bacillus
peptide_40	root	Bacteria	Salmonella
peptide_41	Enterobacteriaceae	root	Bacillus
peptide_42	Enterobacteriaceae	Bacteria	Bacillus
peptide_43	root	Bacteria	Salmonella
peptide_44	root	Bacteria	Salmonella
peptide_45	root	root	Other
peptide_46	root	root	Escherichia
peptide_47	root	root	Tequatrovirus
peptide_48	root	root	Salmonella
peptide_49	root	Bacteria	Escherichia
peptide_50	Enterobacteriaceae	Bacteria	Escherichia
peptide_51	Enterobacteriaceae	root	Other
peptide_52	root	Bacteria	Other
peptide_53	root	root	Tequatrovirus
peptide_54	root	root	Other
peptide_55	root	Bacteria	Other
peptide_56	root	root	Escherichia
peptide_57	root	root	Salmonella
peptide_58	Enterobacteriaceae	Bacteria	Escherichia
peptide_59	root	Bacteria	Salmonella
peptide_60	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_61	Enterobacteriaceae	Bacteria	Escherichia
peptide_62	root	Bacteria	Salmonella
peptide_63	root	root	Salmonella
peptide_64	root	Bacteria	Tequatrovirus
peptide_65	Enterobacteriaceae	root	Escherichia
peptide_66	Enterobacteriaceae	root	Other
peptide_67	Enterobacteriaceae	root	Other
peptide_68	root	root	Other
peptide_69	root	Bacteria	Bacillus
peptide_70	root	root	Salmonella
peptide_71	root	Bacteria	Other
peptide_72	root	Bacteria	Other
peptide_73	root	root	Other
peptide_74	root	root	Tequatrovirus
peptide_75	Enterobacteriaceae	root	Salmonella
peptide_76	root	Bacteria	Salmonella
peptide_77	Enterobacteriaceae	root	Tequatrovirus
peptide_78	root	root	Tequatrovirus
peptide_79	Enterobacteriaceae	Bacteria	Salmonella
peptide_80	Enterobacteriaceae	root	Other
peptide_81	Enterobacteriaceae	root	Bacillus
peptide_82	root	Bacteria	Salmonella
peptide_83	root	Bacteria	Tequatrovirus
peptide_84	Enterobacteriaceae	root	Tequatrovirus
peptide_85	Enterobacteriaceae	Bacteria	Salmonella
peptide_86	Enterobacteriaceae	root	Other
peptide_87	root	Bacteria	Bacillus
peptide_88	root	root	Escherichia
peptide_89	root	Bacteria	Tequatrovirus
peptide_90	root	root	Bacillus
peptide_91	root	root	Salmonella
peptide_92	root	Bacteria	Tequatrovirus
peptide_93	root	root	Salmonella
peptide_94	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_95	Enterobacteriaceae	Bacteria	Salmonella
peptide_96	root	Bacteria	Other
peptide_97	Enterobacteriaceae	Bacteria	Escherichia
peptide_98	root	Bacteria	Escherichia
peptide_99	Enterobacteriaceae	Bacteria	Other
