peptide	lca	superkingdom	genus
peptide_0	root	root	Escherichia
peptide_1	root	Bacteria	Bacillus
peptide_2	root	root	Bacillus
peptide_3	Enterobacteriaceae	Bacteria	Salmonella
peptide_4	Enterobacteriaceae	Bacteria	Salmonella
peptide_5	root	root	Tequatrovirus
peptide_6	Enterobacteriaceae	root	Salmonella
peptide_7	Enterobacteriaceae	root	Tequatrovirus
peptide_8	Enterobacteriaceae	root	Salmonella
peptide_9	Enterobacteriaceae	Bacteria	Bacillus
peptide_10	root	Bacteria	Other
peptide_11	root	root	Tequatrovirus
peptide_12	root	Bacteria	Tequatrovirus
peptide_13	Enterobacteriaceae	Bacteria	Escherichia
peptide_14	Enterobacteriaceae	root	Tequatrovirus
peptide_15	root	Bacteria	Other
peptide_16	root	root	Salmonella
peptide_17	root	root	Salmonella
peptide_18	root	Bacteria	Salmonella
peptide_19	root	Bacteria	Other
peptide_20	root	root	Bacillus
peptide_21	root	root	Salmonella
peptide_22	Enterobacteriaceae	Bacteria	Escherichia
peptide_23	Enterobacteriaceae	Bacteria	Other
peptide_24	root	Bacteria	Salmonella
peptide_25	root	root	Other
peptide_26	root	root	Escherichia
peptide_27	root	Bacteria	Salmonella
peptide_28	root	root	Bacillus
peptide_29	root	Bacteria	Tequatrovirus
peptide_30	Enterobacteriaceae	Bacteria	Other
peptide_31	root	root	Salmonella
peptide_32	Enterobacteriaceae	Bacteria	Salmonella
peptide_33	Enterobacteriaceae	Bacteria	Other
peptide_34	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_35	Enterobacteriaceae	root	Other
peptide_36	Enterobacteriaceae	Bacteria	Escherichia
peptide_37	root	root	Salmonella
peptide_38	Enterobacteriaceae	root	Salmonella
peptide_39	Enterobacteriaceae	root	Salmonella
peptide_40	root	Bacteria	Other
peptide_41	Enterobacteriaceae	root	Salmonella
peptide_42	Enterobacteriaceae	root	Tequatrovirus
peptide_43	root	root	Bacillus
peptide_44	Enterobacteriaceae	root	Other
peptide_45	root	Bacteria	Other
peptide_46	root	root	Other
peptide_47	Enterobacteriaceae	Bacteria	Salmonella
peptide_48	Enterobacteriaceae	Bacteria	Other
peptide_49	root	Bacteria	Salmonella
peptide_50	Enterobacteriaceae	root	Other
peptide_51	Enterobacteriaceae	Bacteria	Escherichia
peptide_52	root	Bacteria	Salmonella
peptide_53	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_54	root	root	Escherichia
peptide_55	Enterobacteriaceae	Bacteria	Salmonella
peptide_56	Enterobacteriaceae	root	Bacillus
peptide_57	root	Bacteria	Salmonella
peptide_58	Enterobacteriaceae	root	Other
peptide_59	root	Bacteria	Salmonella
peptide_60	Enterobacteriaceae	Bacteria	Salmonella
peptide_61	root	root	Escherichia
peptide_62	Enterobacteriaceae	root	Tequatrovirus
peptide_63	root	Bacteria	Other
peptide_64	root	Bacteria	Tequatrovirus
peptide_65	Enterobacteriaceae	root	Other
peptide_66	root	Bacteria	Salmonella
peptide_67	root	root	Tequatrovirus
peptide_68	root	root	Other
peptide_69	Enterobacteriaceae	Bacteria	Salmonella
peptide_70	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_71	root	Bacteria	Tequatrovirus
peptide_72	Enterobacteriaceae	root	Other
peptide_73	root	Bacteria	Salmonella
peptide_74	Enterobacteriaceae	root	Salmonella
peptide_75	root	root	Salmonella
peptide_76	Enterobacteriaceae	root	Salmonella
peptide_77	root	Bacteria	Other
peptide_78	root	Bacteria	Tequatrovirus
peptide_79	root	root	Salmonella
peptide_80	root	Bacteria	Other
peptide_81	Enterobacteriaceae	Bacteria	Other
peptide_82	root	root	Salmonella
peptide_83	Enterobacteriaceae	root	Salmonella
peptide_84	Enterobacteriaceae	root	Escherichia
peptide_85	root	Bacteria	Escherichia
peptide_86	root	Bacteria	Escherichia
peptide_87	root	root	Tequatrovirus
peptide_88	root	root	Escherichia
peptide_89	Enterobacteriaceae	root	Salmonella
peptide_90	root	Bacteria	Salmonella
peptide_91	root	root	Tequatrovirus
peptide_92	root	root	Escherichia
peptide_93	Enterobacteriaceae	Bacteria	Salmonella
peptide_94	root	root	Salmonella
peptide_95	Enterobacteriaceae	root	Other
peptide_96	root	Bacteria	Escherichia
peptide_97	root	root	Escherichia
peptide_98	Enterobacteriaceae	root	Other
peptide_99	root	Bacteria	Other
