peptide	lca	superkingdom	genus
peptide_0	Enterobacteriaceae	root	Escherichia
peptide_1	Enterobacteriaceae	Bacteria	Other
peptide_2	Enterobacteriaceae	Bacteria	Salmonella
peptide_3	Enterobacteriaceae	root	Escherichia
peptide_4	Enterobacteriaceae	Bacteria	Other
peptide_5	Enterobacteriaceae	root	Salmonella
peptide_6	Enterobacteriaceae	root	Escherichia
peptide_7	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_8	root	root	Other
peptide_9	root	Bacteria	Escherichia
peptide_10	Enterobacteriaceae	root	Other
peptide_11	Enterobacteriaceae	root	Salmonella
peptide_12	root	root	Tequatrovirus
peptide_13	root	root	Escherichia
peptide_14	Enterobacteriaceae	Bacteria	Salmonella
peptide_15	root	Bacteria	Other
peptide_16	Enterobacteriaceae	root	Other
peptide_17	Enterobacteriaceae	Bacteria	Escherichia
peptide_18	Enterobacteriaceae	root	Bacillus
peptide_19	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_20	root	root	Bacillus
peptide_21	Enterobacteriaceae	Bacteria	Other
peptide_22	Enterobacteriaceae	root	Bacillus
peptide_23	Enterobacteriaceae	Bacteria	Other
peptide_24	root	Bacteria	Other
peptide_25	root	Bacteria	Escherichia
peptide_26	root	Bacteria	Escherichia
peptide_27	root	root	Other
peptide_28	root	Bacteria	Tequatrovirus
peptide_29	root	Bacteria	Salmonella
peptide_30	Enterobacteriaceae	Bacteria	Other
peptide_31	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_32	Enterobacteriaceae	Bacteria	Escherichia
peptide_33	Enterobacteriaceae	Bacteria	Salmonella
peptide_34	Enterobacteriaceae	root	Tequatrovirus
peptide_35	root	Bacteria	Tequatrovirus
peptide_36	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_37	Enterobacteriaceae	root	Other
peptide_38	root	Bacteria	Other
peptide_39	Enterobacteriaceae	root	Salmonella
peptide_40	Enterobacteriaceae	Bacteria	Escherichia
peptide_41	root	root	Salmonella
peptide_42	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_43	Enterobacteriaceae	Bacteria	Escherichia
peptide_44	root	root	Escherichia
peptide_45	root	root	Other
peptide_46	root	root	Escherichia
peptide_47	Enterobacteriaceae	Bacteria	Salmonella
peptide_48	root	root	Other
peptide_49	root	root	Escherichia
peptide_50	root	root	Tequatrovirus
peptide_51	Enterobacteriaceae	root	Other
peptide_52	Enterobacteriaceae	root	Salmonella
peptide_53	root	root	Salmonella
peptide_54	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_55	Enterobacteriaceae	root	Salmonella
peptide_56	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_57	Enterobacteriaceae	root	Escherichia
peptide_58	root	Bacteria	Other
peptide_59	Enterobacteriaceae	root	Escherichia
peptide_60	root	Bacteria	Salmonella
peptide_61	root	Bacteria	Tequatrovirus
peptide_62	Enterobacteriaceae	root	Bacillus
peptide_63	Enterobacteriaceae	Bacteria	Salmonella
peptide_64	root	Bacteria	Tequatrovirus
peptide_65	Enterobacteriaceae	root	Salmonella
peptide_66	Enterobacteriaceae	root	Bacillus
peptide_67	root	Bacteria	Escherichia
peptide_68	root	root	Escherichia
peptide_69	Enterobacteriaceae	Bacteria	Other
peptide_70	root	Bacteria	Salmonella
peptide_71	root	Bacteria	Bacillus
peptide_72	Enterobacteriaceae	root	Salmonella
peptide_73	Enterobacteriaceae	root	Other
peptide_74	Enterobacteriaceae	root	Escherichia
peptide_75	root	Bacteria	Tequatrovirus
peptide_76	Enterobacteriaceae	root	Salmonella
peptide_77	root	root	Bacillus
peptide_78	Enterobacteriaceae	Bacteria	Salmonella
peptide_79	Enterobacteriaceae	root	Other
peptide_80	Enterobacteriaceae	Bacteria	Other
peptide_81	root	root	Other
peptide_82	Enterobacteriaceae	Bacteria	Salmonella
peptide_83	Enterobacteriaceae	root	Escherichia
peptide_84	Enterobacteriaceae	root	Escherichia
peptide_85	root	Bacteria	Bacillus
peptide_86	root	Bacteria	Other
peptide_87	root	Bacteria	Other
peptide_88	root	root	Other
peptide_89	Enterobacteriaceae	root	Tequatrovirus
peptide_90	Enterobacteriaceae	Bacteria	Salmonella
peptide_91	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_92	root	Bacteria	Salmonella
peptide_93	root	Bacteria	Salmonella
peptide_94	Enterobacteriaceae	root	Bacillus
peptide_95	Enterobacteriaceae	Bacteria	Other
peptide_96	Enterobacteriaceae	Bacteria	Salmonella
peptide_97	Enterobacteriaceae	root	Bacillus
peptide_98	root	root	Salmonella
peptide_99	root	root	Escherichia
