peptide	lca	superkingdom	genus
peptide_0	root	root	Escherichia
peptide_1	Enterobacteriaceae	root	Other
peptide_2	root	Bacteria	Salmonella
peptide_3	root	root	Escherichia
peptide_4	Enterobacteriaceae	Bacteria	Escherichia
peptide_5	Enterobacteriaceae	Bacteria	Escherichia
peptide_6	root	Bacteria	Salmonella
peptide_7	root	Bacteria	Escherichia
peptide_8	root	root	Salmonella
peptide_9	Enterobacteriaceae	root	Tequatrovirus
peptide_10	Enterobacteriaceae	Bacteria	Other
peptide_11	Enterobacteriaceae	Bacteria	Bacillus
peptide_12	root	root	Escherichia
peptide_13	root	Bacteria	Salmonella
peptide_14	Enterobacteriaceae	root	Salmonella
peptide_15	Enterobacteriaceae	Bacteria	Salmonella
peptide_16	Enterobacteriaceae	root	Salmonella
peptide_17	root	root	Bacillus
peptide_18	Enterobacteriaceae	root	Other
peptide_19	Enterobacteriaceae	root	Other
peptide_20	root	root	Escherichia
peptide_21	Enterobacteriaceae	root	Bacillus
peptide_22	Enterobacteriaceae	root	Tequatrovirus
peptide_23	Enterobacteriaceae	Bacteria	Escherichia
peptide_24	root	root	Escherichia
peptide_25	root	Bacteria	Tequatrovirus
peptide_26	Enterobacteriaceae	root	Tequatrovirus
peptide_27	Enterobacteriaceae	root	Other
peptide_28	Enterobacteriaceae	root	Bacillus
peptide_29	root	root	Other
peptide_30	Enterobacteriaceae	root	Tequatrovirus
peptide_31	Enterobacteriaceae	Bacteria	Other
peptide_32	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_33	Enterobacteriaceae	root	Tequatrovirus
peptide_34	Enterobacteriaceae	root	Salmonella
peptide_35	root	Bacteria	Escherichia
peptide_36	Enterobacteriaceae	root	Escherichia
peptide_37	root	root	Tequatrovirus
peptide_38	root	root	Tequatrovirus
peptide_39	root	Bacteria	Tequatrovirus
peptide_40	Enterobacteriaceae	root	Escherichia
peptide_41	Enterobacteriaceae	root	Escherichia
peptide_42	Enterobacteriaceae	Bacteria	Bacillus
peptide_43	root	root	Other
peptide_44	root	Bacteria	Bacillus
peptide_45	Enterobacteriaceae	root	Salmonella
peptide_46	root	root	Salmonella
peptide_47	Enterobacteriaceae	root	Bacillus
peptide_48	root	Bacteria	Salmonella
peptide_49	Enterobacteriaceae	Bacteria	Other
peptide_50	Enterobacteriaceae	root	Other
peptide_51	root	Bacteria	Escherichia
peptide_52	Enterobacteriaceae	root	Other
peptide_53	Enterobacteriaceae	root	Salmonella
peptide_54	Enterobacteriaceae	root	Salmonella
peptide_55	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_56	Enterobacteriaceae	Bacteria	Bacillus
peptide_57	root	root	Tequatrovirus
peptide_58	Enterobacteriaceae	root	Salmonella
peptide_59	root	Bacteria	Other
peptide_60	root	Bacteria	Salmonella
peptide_61	root	root	Other
peptide_62	root	root	Escherichia
peptide_63	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_64	root	root	Escherichia
peptide_65	Enterobacteriaceae	root	Salmonella
peptide_66	Enterobacteriaceae	root	Escherichia
peptide_67	Enterobacteriaceae	Bacteria	Salmonella
peptide_68	Enterobacteriaceae	root	Escherichia
peptide_69	Enterobacteriaceae	Bacteria	Other
peptide_70	Enterobacteriaceae	Bacteria	Bacillus
peptide_71	root	root	Escherichia
peptide_72	Enterobacteriaceae	root	Bacillus
peptide_73	Enterobacteriaceae	root	Salmonella
peptide_74	root	root	Tequatrovirus
peptide_75	Enterobacteriaceae	root	Other
peptide_76	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_77	Enterobacteriaceae	root	Other
peptide_78	Enterobacteriaceae	Bacteria	Salmonella
peptide_79	Enterobacteriaceae	root	Bacillus
peptide_80	Enterobacteriaceae	Bacteria	Other
peptide_81	Enterobacteriaceae	root	Escherichia
peptide_82	Enterobacteriaceae	Bacteria	Other
peptide_83	root	root	Salmonella
peptide_84	Enterobacteriaceae	Bacteria	Other
peptide_85	root	Bacteria	Salmonella
peptide_86	Enterobacteriaceae	Bacteria	Other
peptide_87	root	Bacteria	Tequatrovirus
peptide_88	root	Bacteria	Other
peptide_89	Enterobacteriaceae	Bacteria	Salmonella
peptide_90	Enterobacteriaceae	Bacteria	Escherichia
peptide_91	root	root	Bacillus
peptide_92	root	root	Tequatrovirus
peptide_93	root	Bacteria	Other
peptide_94	Enterobacteriaceae	Bacteria	Other
peptide_95	root	Bacteria	Salmonella
peptide_96	root	root	Tequatrovirus
peptide_97	Enterobacteriaceae	Bacteria	Other
peptide_98	Enterobacteriaceae	Bacteria	Salmonella
peptide_99	Enterobacteriaceae	Bacteria	Tequatrovirus
