peptide	lca	superkingdom	genus
peptide_0	Enterobacteriaceae	Bacteria	Salmonella
peptide_1	root	root	Tequatrovirus
peptide_2	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_3	Enterobacteriaceae	root	Escherichia
peptide_4	root	root	Other
peptide_5	root	root	Tequatrovirus
peptide_6	Enterobacteriaceae	root	Escherichia
peptide_7	root	root	Salmonella
peptide_8	Enterobacteriaceae	root	Salmonella
peptide_9	root	root	Other
peptide_10	root	root	Tequatrovirus
peptide_11	Enterobacteriaceae	Bacteria	Other
peptide_12	Enterobacteriaceae	Bacteria	Other
peptide_13	Enterobacteriaceae	root	Other
peptide_14	root	root	Tequatrovirus
peptide_15	root	Bacteria	Salmonella
peptide_16	Enterobacteriaceae	Bacteria	Salmonella
peptide_17	root	Bacteria	Bacillus
peptide_18	Enterobacteriaceae	root	Salmonella
peptide_19	root	Bacteria	Escherichia
peptide_20	root	Bacteria	Escherichia
peptide_21	Enterobacteriaceae	root	Salmonella
peptide_22	Enterobacteriaceae	root	Other
peptide_23	Enterobacteriaceae	Bacteria	Other
peptide_24	Enterobacteriaceae	Bacteria	Other
peptide_25	root	Bacteria	Escherichia
peptide_26	Enterobacteriaceae	root	Bacillus
peptide_27	root	root	Bacillus
peptide_28	root	Bacteria	Tequatrovirus
peptide_29	root	Bacteria	Other
peptide_30	Enterobacteriaceae	Bacteria	Escherichia
peptide_31	Enterobacteriaceae	root	Salmonella
peptide_32	root	root	Tequatrovirus
peptide_33	Enterobacteriaceae	root	Escherichia
peptide_34	Enterobacteriaceae	root	Other
peptide_35	Enterobacteriaceae	Bacteria	Salmonella
peptide_36	root	Bacteria	Bacillus
peptide_37	root	root	Escherichia
peptide_38	root	root	Escherichia
peptide_39	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_40	Enterobacteriaceae	Bacteria	Other
peptide_41	root	root	Salmonella
peptide_42	root	root	Other
peptide_43	Enterobacteriaceae	root	Salmonella
peptide_44	root	Bacteria	Tequatrovirus
peptide_45	Enterobacteriaceae	root	Tequatrovirus
peptide_46	root	Bacteria	Tequatrovirus
peptide_47	Enterobacteriaceae	root	Other
peptide_48	Enterobacteriaceae	Bacteria	Salmonella
peptide_49	root	root	Bacillus
peptide_50	root	Bacteria	Other
peptide_51	root	root	Escherichia
peptide_52	Enterobacteriaceae	Bacteria	Other
peptide_53	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_54	Enterobacteriaceae	root	Other
peptide_55	root	root	Other
peptide_56	Enterobacteriaceae	Bacteria	Salmonella
peptide_57	root	root	Escherichia
peptide_58	root	root	Tequatrovirus
peptide_59	Enterobacteriaceae	root	Tequatrovirus
peptide_60	root	root	Salmonella
peptide_61	Enterobacteriaceae	Bacteria	Escherichia
peptide_62	root	root	Escherichia
peptide_63	root	root	Escherichia
peptide_64	root	Bacteria	Escherichia
peptide_65	Enterobacteriaceae	Bacteria	Other
peptide_66	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_67	Enterobacteriaceae	Bacteria	Salmonella
peptide_68	root	root	Salmonella
peptide_69	root	Bacteria	Salmonella
peptide_70	root	Bacteria	Tequatrovirus
peptide_71	root	Bacteria	Other
peptide_72	root	Bacteria	Salmonella
peptide_73	Enterobacteriaceae	Bacteria	Escherichia
peptide_74	root	Bacteria	Tequatrovirus
peptide_75	Enterobacteriaceae	root	Salmonella
peptide_76	root	Bacteria	Escherichia
peptide_77	Enterobacteriaceae	root	Tequatrovirus
peptide_78	root	Bacteria	Salmonella
peptide_79	root	root	Salmonella
peptide_80	Enterobacteriaceae	root	Salmonella
peptide_81	root	root	Bacillus
peptide_82	Enterobacteriaceae	Bacteria	Other
peptide_83	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_84	root	Bacteria	Salmonella
peptide_85	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_86	root	Bacteria	Tequatrovirus
peptide_87	root	Bacteria	Bacillus
peptide_88	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_89	Enterobacteriaceae	root	Salmonella
peptide_90	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_91	root	Bacteria	Bacillus
peptide_92	Enterobacteriaceae	root	Tequatrovirus
peptide_93	Enterobacteriaceae	Bacteria	Other
peptide_94	root	Bacteria	Other
peptide_95	Enterobacteriaceae	Bacteria	Salmonella
peptide_96	root	root	Other
peptide_97	Enterobacteriaceae	Bacteria	Salmonella
peptide_98	root	root	Other
peptide_99	root	Bacteria	Tequatrovirus
