peptide	lca	superkingdom	genus
peptide_0	root	Bacteria	Other
peptide_1	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_2	root	Bacteria	Other
peptide_3	Enterobacteriaceae	Bacteria	Other
peptide_4	root	Bacteria	Escherichia
peptide_5	root	root	Salmonella
peptide_6	Enterobacteriaceae	Bacteria	Other
peptide_7	Enterobacteriaceae	root	Other
peptide_8	root	root	Other
peptide_9	root	Bacteria	Tequatrovirus
peptide_10	root	Bacteria	Escherichia
peptide_11	root	root	Other
peptide_12	root	root	Salmonella
peptide_13	Enterobacteriaceae	root	Other
peptide_14	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_15	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_16	root	root	Salmonella
peptide_17	root	Bacteria	Other
peptide_18	root	root	Tequatrovirus
peptide_19	root	root	Salmonella
peptide_20	Enterobacteriaceae	Bacteria	Escherichia
peptide_21	Enterobacteriaceae	Bacteria	Bacillus
peptide_22	root	Bacteria	Salmonella
peptide_23	Enterobacteriaceae	root	Other
peptide_24	Enterobacteriaceae	root	Bacillus
peptide_25	Enterobacteriaceae	root	Salmonella
peptide_26	root	Bacteria	Salmonella
peptide_27	root	Bacteria	Salmonella
peptide_28	root	Bacteria	Other
peptide_29	Enterobacteriaceae	root	Salmonella
peptide_30	Enterobacteriaceae	root	Tequatrovirus
peptide_31	root	root	Tequatrovirus
peptide_32	Enterobacteriaceae	root	Escherichia
peptide_33	Enterobacteriaceae	Bacteria	Salmonella
peptide_34	root	root	Other
peptide_35	Enterobacteriaceae	Bacteria	Salmonella
peptide_36	root	root	Salmonella
peptide_37	root	Bacteria	Salmonella
peptide_38	Enterobacteriaceae	Bacteria	Other
peptide_39	Enterobacteriaceae	root	Bacillus
peptide_40	root	Bacteria	Bacillus
peptide_41	Enterobacteriaceae	root	Salmonella
peptide_42	root	Bacteria	Salmonella
peptide_43	root	Bacteria	Salmonella
peptide_44	Enterobacteriaceae	Bacteria	Salmonella
peptide_45	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_46	Enterobacteriaceae	Bacteria	Other
peptide_47	Enterobacteriaceae	Bacteria	Bacillus
peptide_48	root	root	Other
peptide_49	Enterobacteriaceae	Bacteria	Salmonella
peptide_50	root	root	Other
peptide_51	root	Bacteria	Other
peptide_52	root	root	Bacillus
peptide_53	root	root	Salmonella
peptide_54	Enterobacteriaceae	Bacteria	Other
peptide_55	root	root	Salmonella
peptide_56	root	root	Salmonella
peptide_57	root	Bacteria	Salmonella
peptide_58	root	root	Other
peptide_59	root	root	Other
peptide_60	root	root	Other
peptide_61	Enterobacteriaceae	root	Bacillus
peptide_62	Enterobacteriaceae	root	Other
peptide_63	root	Bacteria	Tequatrovirus
peptide_64	root	root	Salmonella
peptide_65	Enterobacteriaceae	root	Salmonella
peptide_66	Enterobacteriaceae	root	Tequatrovirus
peptide_67	root	root	Bacillus
peptide_68	Enterobacteriaceae	root	Escherichia
peptide_69	Enterobacteriaceae	Bacteria	Salmonella
peptide_70	root	root	Other
peptide_71	Enterobacteriaceae	Bacteria	Salmonella
peptide_72	Enterobacteriaceae	root	Salmonella
peptide_73	root	Bacteria	Bacillus
peptide_74	Enterobacteriaceae	root	Salmonella
peptide_75	Enterobacteriaceae	root	Bacillus
peptide_76	Enterobacteriaceae	root	Salmonella
peptide_77	root	root	Salmonella
peptide_78	root	root	Salmonella
peptide_79	root	Bacteria	Salmonella
peptide_80	root	root	Tequatrovirus
peptide_81	Enterobacteriaceae	Bacteria	Salmonella
peptide_82	root	Bacteria	Other
peptide_83	Enterobacteriaceae	root	Salmonella
peptide_84	Enterobacteriaceae	root	Salmonella
peptide_85	Enterobacteriaceae	root	Salmonella
peptide_86	root	Bacteria	Bacillus
peptide_87	Enterobacteriaceae	root	Escherichia
peptide_88	root	Bacteria	Other
peptide_89	Enterobacteriaceae	Bacteria	Escherichia
peptide_90	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_91	Enterobacteriaceae	root	Escherichia
peptide_92	Enterobacteriaceae	Bacteria	Escherichia
peptide_93	root	root	Salmonella
peptide_94	Enterobacteriaceae	Bacteria	Other
peptide_95	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_96	Enterobacteriaceae	Bacteria	Bacillus
peptide_97	Enterobacteriaceae	root	Salmonella
peptide_98	root	Bacteria	Salmonella
peptide_99	root	Bacteria	Other
